date,open,close,low,high,volume,money,name,code
2005-01-04,8.4,8.41,8.31,8.5,1017478.0,8566179.0,贵州茅台,600519.XSHG
2005-01-05,8.4,8.6,8.36,8.61,2659489.0,22582400.0,贵州茅台,600519.XSHG
2005-01-06,8.54,8.45,8.43,8.56,2392814.0,20282548.0,贵州茅台,600519.XSHG
2005-01-07,8.43,8.52,8.43,8.59,1300754.0,11115440.0,贵州茅台,600519.XSHG
2005-01-10,8.52,8.83,8.52,8.84,4642966.0,40597723.0,贵州茅台,600519.XSHG
2005-01-11,8.83,8.84,8.82,8.91,2167486.0,19240403.0,贵州茅台,600519.XSHG
2005-01-12,8.84,8.86,8.74,8.88,1468090.0,12949338.0,贵州茅台,600519.XSHG
2005-01-13,8.8,8.92,8.8,8.97,1249243.0,11159242.0,贵州茅台,600519.XSHG
2005-01-14,8.88,8.75,8.7,8.93,1446188.0,12691131.0,贵州茅台,600519.XSHG
2005-01-17,8.65,8.75,8.57,8.81,785107.0,6845213.0,贵州茅台,600519.XSHG
2005-01-18,8.75,8.89,8.7,8.89,1142839.0,10016326.0,贵州茅台,600519.XSHG
2005-01-19,8.77,8.75,8.75,8.98,1148817.0,10180585.0,贵州茅台,600519.XSHG
2005-01-20,8.74,8.75,8.66,8.77,421948.0,3670093.0,贵州茅台,600519.XSHG
2005-01-21,8.68,8.75,8.43,8.77,1376397.0,11879307.0,贵州茅台,600519.XSHG
2005-01-24,8.76,8.83,8.7,8.91,1807870.0,15943177.0,贵州茅台,600519.XSHG
2005-01-25,8.89,9.09,8.81,9.12,2519708.0,22704867.0,贵州茅台,600519.XSHG
2005-01-26,9.11,9.09,9.0,9.19,1617952.0,14767520.0,贵州茅台,600519.XSHG
2005-01-27,9.02,9.05,9.02,9.11,442554.0,4007784.0,贵州茅台,600519.XSHG
2005-01-28,9.05,9.02,8.91,9.05,581006.0,5226481.0,贵州茅台,600519.XSHG
2005-01-31,8.91,9.09,8.91,9.1,504695.0,4552532.0,贵州茅台,600519.XSHG
